,tweet emoji,sentimen llm,tweet_with_tags
11,Semoga jangan deh 😱. Aku juga semingguan ini mimpi aneh aneh random bgt jadi takut kalo beneran kenyataan 😰,negatif,Semoga jangan deh <Wajah Berteriak Ketakutan>. Aku juga semingguan ini mimpi aneh aneh random bgt jadi takut kalo beneran kenyataan <Wajah Mulut Terbuka Dan Keringat Dingin>
12,Hahaha. Memang pun. Baru guna sem ni mmg sakit la.. 🤣 Terkejut 😱,negatif,Hahaha. Memang pun. Baru guna sem ni mmg sakit la.. <Tertawa Terpingkal-Pingkal> Terkejut <Wajah Berteriak Ketakutan>
13,Cukup untuk Kita: Selalu ada alasan mengapa Semesta menghadirkan tanda tanya 🤔 Dalam relung hati setiap manusia Pada saat menyentuh beberapa peringatan dan duka 😔 Akan selalu hadir Beberapa isyarat bias yang seolah hampa makna 😶 Dalam setiap Berita Unsri 😢,negatif,Cukup untuk Kita: Selalu ada alasan mengapa Semesta menghadirkan tanda tanya <Wajah Berpikir> Dalam relung hati setiap manusia Pada saat menyentuh beberapa peringatan dan duka <Wajah Termenung Sedih> Akan selalu hadir Beberapa isyarat bias yang seolah hampa makna <Wajah Tanpa Mulut> Dalam setiap Berita Unsri <Wajah Menangis>
14,"Makane ku juga heran, napa gk skip aja seh yg ini, sumpeh malesin banget 🙄😒",negatif,"Makane ku juga heran, napa gk skip aja seh yg ini, sumpeh malesin banget <Wajah Memutar Mata><Wajah Tidak Terhibur>"
15,Pyo saja liatnya kesal 😠,negatif,Pyo saja liatnya kesal <Wajah Marah>
16,kalo ada yg tersinggung dari twit 10 tahun yg lalu yg keluar dari jempol bocah 14 tahun ya bego sih wgwgwg 🙄🤣,negatif,kalo ada yg tersinggung dari twit 10 tahun yg lalu yg keluar dari jempol bocah 14 tahun ya bego sih wgwgwg <Wajah Memutar Mata><Tertawa Terpingkal-Pingkal>
17,Jijik sekali aku liat gesture ku sendiri bawain wannabe 🤢🤮,negatif,Jijik sekali aku liat gesture ku sendiri bawain wannabe <Wajah Mual>🤮
18,Anjaaay ngeri nyaks 😱,negatif,Anjaaay ngeri nyaks <Wajah Berteriak Ketakutan>
19,yela da kaye sekarang nak berlagak lak ciss benci ! 😡😒,negatif,yela da kaye sekarang nak berlagak lak ciss benci ! <Wajah Bersungut Marah><Wajah Tidak Terhibur>
20,Ini paling hal benci dari sd sampe smp anj wkwkwlwkw 😠🙄,negatif,Ini paling hal benci dari sd sampe smp anj wkwkwlwkw <Wajah Marah><Wajah Memutar Mata>
21,eh ngeri bernada ancaman 😱😱😱,negatif,eh ngeri bernada ancaman <Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan>
22,Ko gua kaya wartawan ya nanya dia mulu hahaha 🙄 lah dia nya mana nanya gua kan aneh ih jijik sama diri sendiri 🤢,negatif,Ko gua kaya wartawan ya nanya dia mulu hahaha <Wajah Memutar Mata> lah dia nya mana nanya gua kan aneh ih jijik sama diri sendiri <Wajah Mual>
23,"maksudnya diluar tuh kadang mereka ganggu diluar pintu kan suka ngetok tapi orangnya teh ga ada, kalo dalem bisa jadi dibawah kolong 😱 maneh negatif pisan 🤣",negatif,"maksudnya diluar tuh kadang mereka ganggu diluar pintu kan suka ngetok tapi orangnya teh ga ada, kalo dalem bisa jadi dibawah kolong <Wajah Berteriak Ketakutan> maneh negatif pisan <Tertawa Terpingkal-Pingkal>"
24,coba nahan diri utk ga update informasi tp ga tahan &amp; hasilnya malah makin memuakkan 🤮. sedih liat betapa absurdnya kebijakan pemerintah 🤡 &amp; betapa berkuasanya lord LBP serta lemahnya kepemimpinan pak jokes 🤦‍♂️.,negatif,coba nahan diri utk ga update informasi tp ga tahan &amp; hasilnya malah makin memuakkan 🤮. sedih liat betapa absurdnya kebijakan pemerintah <Wajah Badut> &amp; betapa berkuasanya lord LBP serta lemahnya kepemimpinan pak jokes <Orang Tepok Jidat>‍♂️.
25,"Habis itu aku bilang gitu malah tanya tanya komitmen kek yg ada di foto ke 2 🙄. Kan katanya mau bilang langsung, ya emg dia besoknya jelasin langsung ke aku tp dg alasan yg kurang jelas 😕. Ya kecewa si cuma mau gimana lagi berarti emg dia bukan buat aku 😔💔",negatif,"Habis itu aku bilang gitu malah tanya tanya komitmen kek yg ada di foto ke 2 <Wajah Memutar Mata>. Kan katanya mau bilang langsung, ya emg dia besoknya jelasin langsung ke aku tp dg alasan yg kurang jelas <Wajah Bingung>. Ya kecewa si cuma mau gimana lagi berarti emg dia bukan buat aku <Wajah Termenung Sedih><Hati Patah>"
26,I prefer this kind of privacy wkwkwk 😌. Yg sepi2 gini enak. Mau ngomong apa juga enak gaperlu malu gaperlu ada yg tersinggung 😇,positif,I prefer this kind of privacy wkwkwk <Wajah Lega>. Yg sepi2 gini enak. Mau ngomong apa juga enak gaperlu malu gaperlu ada yg tersinggung <Wajah Tersenyum Malaikat>
27,Bukti n fakta klo pejabat2 INA ndk disegani olh mrk... 🤦 miris malu tngkt international 😞,negatif,Bukti n fakta klo pejabat2 INA ndk disegani olh mrk... <Orang Tepok Jidat> miris malu tngkt international <Wajah Kecewa>
28,"Masih heran kenapa ada si manusia"" bentukan kaya gt 🙄, siapkan mood terbaikmu hri ini, se gak nya klo km bete tu mood mu gak langsung hbs 😒",negatif,"Masih heran kenapa ada si manusia"" bentukan kaya gt <Wajah Memutar Mata>, siapkan mood terbaikmu hri ini, se gak nya klo km bete tu mood mu gak langsung hbs <Wajah Tidak Terhibur>"
29,"Mushola dirusak, sebagai seorang muslim saya marah, kecewa dan mengutuk para pelakunya 😡💔, mungkin perasaan inilah yg saudara2 kita rasakan saat Gereja mereka dirusak, kebaktian dbubarkan atau Ijin medirikan tempat ibasah ditolak 😔. Ini pelajaran berharga buat kita ya Njul .. 🙄🤔",negatif,"Mushola dirusak, sebagai seorang muslim saya marah, kecewa dan mengutuk para pelakunya <Wajah Bersungut Marah><Hati Patah>, mungkin perasaan inilah yg saudara2 kita rasakan saat Gereja mereka dirusak, kebaktian dbubarkan atau Ijin medirikan tempat ibasah ditolak <Wajah Termenung Sedih>. Ini pelajaran berharga buat kita ya Njul .. <Wajah Memutar Mata><Wajah Berpikir>"
30,"Ngeri bgttt 😱, akunmu nyambung ke email gak? 😨 Kalo iya biasanya keliatan yang mau masuk ke akunmuu 😰",negatif,"Ngeri bgttt <Wajah Berteriak Ketakutan>, akunmu nyambung ke email gak? <Wajah Takut> Kalo iya biasanya keliatan yang mau masuk ke akunmuu <Wajah Mulut Terbuka Dan Keringat Dingin>"
31,"Suka nya banyak ketemu orang, bisa minggir dulu di tempat makan atau nongkrong di stasiun 🙄 Duka nya tua di keretaaaaaaa 😫, apalagi pas pada pulang kerja kaki gabisa napak di lantai kereta 😭. Kalo lagi dapet atau capek abis kuliah ke senggol dikit rasa nya mo marah 😡",negatif,"Suka nya banyak ketemu orang, bisa minggir dulu di tempat makan atau nongkrong di stasiun <Wajah Memutar Mata> Duka nya tua di keretaaaaaaa <Wajah Sangat Lelah>, apalagi pas pada pulang kerja kaki gabisa napak di lantai kereta <Wajah Menangis Kencang>. Kalo lagi dapet atau capek abis kuliah ke senggol dikit rasa nya mo marah <Wajah Bersungut Marah>"
32,"Syukur Alhamdulillah... bukan nilai materi yg aq vahagia, tp dipercaya dan direspon + GA ini lah makna hakiki indahnya Silaturahmi .... sehat selalu, murah rejeki, delamat dunia akherat untuk saudaraku salute dan respek 🙏😊🌟",positif,"Syukur Alhamdulillah... bukan nilai materi yg aq vahagia, tp dipercaya dan direspon + GA ini lah makna hakiki indahnya Silaturahmi .... sehat selalu, murah rejeki, delamat dunia akherat untuk saudaraku salute dan respek <Tangan Merapat Berdoa><Wajah Tersenyum Dengan Mata Tersenyum><Bintang Bersinar>"
33,"Kesian, penat merangkak tu 😩😞",negatif,"Kesian, penat merangkak tu <Wajah Lelah Lesu><Wajah Kecewa>"
34,Bapak lajuu hahaha 😂. Functionnn klau susah 💯. Secret boss dia hritu senang gila hahaha 🤣,positif,Bapak lajuu hahaha <Wajah Menangis Gembira>. Functionnn klau susah <Nilai Seratus Sempurna>. Secret boss dia hritu senang gila hahaha <Tertawa Terpingkal-Pingkal>
35,"wow aku mimpi aku ikut perang ngelawan jepang buat kemerdekaan, bangga sekali 🤩💪🌟",positif,"wow aku mimpi aku ikut perang ngelawan jepang buat kemerdekaan, bangga sekali 🤩<Otot Lengan Kuat><Bintang Bersinar>"
36,Udah kebiasaan ABS Asal Bapak Senang 🙄😏. Jadi ya seneng kl dengar info 🙃,negatif,Udah kebiasaan ABS Asal Bapak Senang <Wajah Memutar Mata><Wajah Tersenyum Sinis>. Jadi ya seneng kl dengar info <Wajah Terbalik>
37,Terkejut nina tgk yg reply tu jugak 😱. Backup teruks 🙄,negatif,Terkejut nina tgk yg reply tu jugak <Wajah Berteriak Ketakutan>. Backup teruks <Wajah Memutar Mata>
38,"apa kamu tida malu ngehujat pake nama fandom laen? 😠 uda la kalo gabut mah gabut aja gosah ngajak tubir orang, 🙄 eh lupa deng kan situ sampah ya sampah kan tugasnya bikin risih orang 💩 ups bcnd syg 🙃",negatif,"apa kamu tida malu ngehujat pake nama fandom laen? <Wajah Marah> uda la kalo gabut mah gabut aja gosah ngajak tubir orang, <Wajah Memutar Mata> eh lupa deng kan situ sampah ya sampah kan tugasnya bikin risih orang <Kotoran> ups bcnd syg <Wajah Terbalik>"
39,Anjir panas dingin yang debut siapaaa yang gugup siapaaa 😱😰,negatif,Anjir panas dingin yang debut siapaaa yang gugup siapaaa <Wajah Berteriak Ketakutan><Wajah Mulut Terbuka Dan Keringat Dingin>
40,"Iyaa puas makan sabbat burger, nyokap aja suka banget 😍😋. Kalau malem antrinya mantep 😅👍",positif,"Iyaa puas makan sabbat burger, nyokap aja suka banget <Wajah Tersenyum Dengan Mata Hati><Wajah Menikmati Makanan Lezat>. Kalau malem antrinya mantep <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Jempol Ke Atas>"
41,take note pls. jgn bg rakyat murka ye 😠😡,negatif,take note pls. jgn bg rakyat murka ye <Wajah Marah><Wajah Bersungut Marah>
42,"Saya gak kebayang dia sekarang pasti gak tentram 😟, karena komandan diperlakukan seperti yg dulunya jadi prajuritnya pasti tersinggung dan sakit sahit 💔",negatif,"Saya gak kebayang dia sekarang pasti gak tentram <Wajah Cemas>, karena komandan diperlakukan seperti yg dulunya jadi prajuritnya pasti tersinggung dan sakit sahit <Hati Patah>"
43,"Kayanya gini ke Hokuto doang sih Kalau Achilles, aku senang liat dia dibully batur /heh terusterusachillesberdarahdarahyangwaktuitujugaakusuka 😈😂 Kalau yang lain kayanya fangirling biasa 🙄",negatif,"Kayanya gini ke Hokuto doang sih Kalau Achilles, aku senang liat dia dibully batur /heh terusterusachillesberdarahdarahyangwaktuitujugaakusuka <Wajah Tersenyum Berandalan><Wajah Menangis Gembira> Kalau yang lain kayanya fangirling biasa <Wajah Memutar Mata>"
44,"muka nya murka, badmood melihat orang orang yang masuk neraka 😡🔥💀",negatif,"muka nya murka, badmood melihat orang orang yang masuk neraka <Wajah Bersungut Marah><Api><Tengkorak>"
45,Pengin jadi sabun biar korona pada takut 🧼😂,positif,Pengin jadi sabun biar korona pada takut 🧼<Wajah Menangis Gembira>
46,"Tweeter produk kafir, tweeter-an di pakai umat nabi, boleh... 🙄 Tahlil, yasin, di amalkan umat nabi menjadi tahlilan, yasinan... 😑 Terhadap hal yg nabi jijik sj beliau berhati dlm menghukumi, apa lagi hal yg nyata hikmah kebaikannya... 🤔",negatif,"Tweeter produk kafir, tweeter-an di pakai umat nabi, boleh... <Wajah Memutar Mata> Tahlil, yasin, di amalkan umat nabi menjadi tahlilan, yasinan... <Wajah Tanpa Ekspresi> Terhadap hal yg nabi jijik sj beliau berhati dlm menghukumi, apa lagi hal yg nyata hikmah kebaikannya... <Wajah Berpikir>"
47,"Semakin banyak merasa berjasa, semakin sering kamu merasa kecewa 😔. Hanya keikhlasanlah yang dapat mencegahmu dari rasa kecewa 😌🙏.",netral,"Semakin banyak merasa berjasa, semakin sering kamu merasa kecewa <Wajah Termenung Sedih>. Hanya keikhlasanlah yang dapat mencegahmu dari rasa kecewa <Wajah Lega><Tangan Merapat Berdoa>."
48,"Jangan cala colo aja napa koh, kecewa gua 😞. Akwoakwoakwoakwoakwok 🤣",negatif,"Jangan cala colo aja napa koh, kecewa gua <Wajah Kecewa>. Akwoakwoakwoakwoakwok <Tertawa Terpingkal-Pingkal>"
49,"Semoga dapat pembalasan yang setimpal, dan allah murka dengan manusia2 seperti itu 😠😡😤",negatif,"Semoga dapat pembalasan yang setimpal, dan allah murka dengan manusia2 seperti itu <Wajah Marah><Wajah Bersungut Marah><Wajah Mengeluarkan Uap Dari Hidung>"
50,"Lokasi di tunjuk ama cebong... 🙄 atas arahan cebong pula ga heran kalo banjir, 🌊 kan emg harus ada kolam buat berkubang 💩😏",negatif,"Lokasi di tunjuk ama cebong... <Wajah Memutar Mata> atas arahan cebong pula ga heran kalo banjir, 🌊 kan emg harus ada kolam buat berkubang <Kotoran><Wajah Tersenyum Sinis>"
51,Amiiiiiin *team sengsara berakhir bahagia 🙏😇✨,positif,Amiiiiiin *team sengsara berakhir bahagia <Tangan Merapat Berdoa><Wajah Tersenyum Malaikat>✨
52,Ternyata lebih sengsara kangen sama temen 😩💔,negatif,Ternyata lebih sengsara kangen sama temen <Wajah Lelah Lesu><Hati Patah>
53,Heran aku kenapa dari kemaren dimintain duwit terus 🙄😒,negatif,Heran aku kenapa dari kemaren dimintain duwit terus <Wajah Memutar Mata><Wajah Tidak Terhibur>
54,Pagi nanti nak buat kuis la. Teka haiwan je. Alaa senang je tu 😉😊,positif,Pagi nanti nak buat kuis la. Teka haiwan je. Alaa senang je tu <Wajah Mengedipkan Mata><Wajah Tersenyum Dengan Mata Tersenyum>
55,"Anjir benci banget sm cowo yg ngroko smbl berak Di tmpt kerja, 😠 kamar mandi cuma 1 udh gitu gada ventilasi, 😤 temen gua tiap ke kamar mandi berak pasti ngrokok, 😒 pas keluar gila itu kamar mandi udh kaya habis kebakaran, 😱 asepnya lebat bgt, 😫 heran ko ga mati ya 15 menit disitu 💀",negatif,"Anjir benci banget sm cowo yg ngroko smbl berak Di tmpt kerja, <Wajah Marah> kamar mandi cuma 1 udh gitu gada ventilasi, <Wajah Mengeluarkan Uap Dari Hidung> temen gua tiap ke kamar mandi berak pasti ngrokok, <Wajah Tidak Terhibur> pas keluar gila itu kamar mandi udh kaya habis kebakaran, <Wajah Berteriak Ketakutan> asepnya lebat bgt, <Wajah Sangat Lelah> heran ko ga mati ya 15 menit disitu <Tengkorak>"
56,Karna udh muak bukan muak karna dia bngunin solat subuh muak sama orngnya hhe 🙄😒,negatif,Karna udh muak bukan muak karna dia bngunin solat subuh muak sama orngnya hhe <Wajah Memutar Mata><Wajah Tidak Terhibur>
57,PKP random sketch day berapa entah 😵‍💫. Gugup gak aku sketch ni 😰.,negatif,PKP random sketch day berapa entah <Wajah Pusing>‍💫. Gugup gak aku sketch ni <Wajah Mulut Terbuka Dan Keringat Dingin>.
58,KO OVARIUM ANJINC 😡🤬,negatif,KO OVARIUM ANJINC <Wajah Bersungut Marah>🤬
59,manusia modelan begini tuh masalahnya apa si caper mlu heran 🙄😒,negatif,manusia modelan begini tuh masalahnya apa si caper mlu heran <Wajah Memutar Mata><Wajah Tidak Terhibur>
60,Minum kopinya kang biar gak gugup ☕ 😌,positif,Minum kopinya kang biar gak gugup ☕ <Wajah Lega>
61,bnyk gasukanya heran 🙄🤔,negatif,bnyk gasukanya heran <Wajah Memutar Mata><Wajah Berpikir>
62,"benci ih aneh bgt BGTBGTBGT ANEH HUH 🙄, nikmat tuhan mana yg kamu dustakan? bener2 deh 🙃",negatif,"benci ih aneh bgt BGTBGTBGT ANEH HUH <Wajah Memutar Mata>, nikmat tuhan mana yg kamu dustakan? bener2 deh <Wajah Terbalik>"
63,Diiyain lagi murka banget 😠😡,negatif,Diiyain lagi murka banget <Wajah Marah><Wajah Bersungut Marah>
64,Bae-bae ye jangan keseringan jadi ngeri 😱😰,negatif,Bae-bae ye jangan keseringan jadi ngeri <Wajah Berteriak Ketakutan><Wajah Mulut Terbuka Dan Keringat Dingin>
65,Bersama sama hilangkan hati duka lara ❤️🙏,positif,Bersama sama hilangkan hati duka lara <Hati Merah>️<Tangan Merapat Berdoa>
66,"Udah kaya begal maen todong, ngeri!! 😱😱",negatif,"Udah kaya begal maen todong, ngeri!! <Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan>"
67,Kan bila fikir pun dah penat 😫. Apa tah lagi nak lalui lagi 😞,negatif,Kan bila fikir pun dah penat <Wajah Sangat Lelah>. Apa tah lagi nak lalui lagi <Wajah Kecewa>
68,"sakit banget saat cowok yg bikin lo bahagia kemaren, ternyata yg bikin lo nangis hari ini 💔😭",negatif,"sakit banget saat cowok yg bikin lo bahagia kemaren, ternyata yg bikin lo nangis hari ini <Hati Patah><Wajah Menangis Kencang>"
69,Dia nyindir jg diacara lain wkwkw 🙄 intinya sih gue yakin dia kecewa bgt (YAIYALAH) 🤣 soalnya mbaknya tuh emg fans kyuhyun dr lamaaa bgt dr zaman dia ceking kerontang wkwk eh ditinggal wamil oleng dong: 😭,negatif,Dia nyindir jg diacara lain wkwkw <Wajah Memutar Mata> intinya sih gue yakin dia kecewa bgt (YAIYALAH) <Tertawa Terpingkal-Pingkal> soalnya mbaknya tuh emg fans kyuhyun dr lamaaa bgt dr zaman dia ceking kerontang wkwk eh ditinggal wamil oleng dong: <Wajah Menangis Kencang>
70,"emang udah benci jokowi dari sana nya 😠, ya susah ngomong sama kadrun 🙄",negatif,"emang udah benci jokowi dari sana nya <Wajah Marah>, ya susah ngomong sama kadrun <Wajah Memutar Mata>"
71,"Dendi d pateni Yo, jijik bgt e kae ki 🤢🤮",negatif,"Dendi d pateni Yo, jijik bgt e kae ki <Wajah Mual>🤮"
72,"Aku tersinggung mbak, pengen muleh ae rasane 😞😩",negatif,"Aku tersinggung mbak, pengen muleh ae rasane <Wajah Kecewa><Wajah Lelah Lesu>"
73,"Gue nyariin dari kmrn, kecewa 😞",negatif,"Gue nyariin dari kmrn, kecewa <Wajah Kecewa>"
74,"Ada ye, orang diliatin malah dikira naksir. Gue diliatin gitu malah risih masa 😒🙄",negatif,"Ada ye, orang diliatin malah dikira naksir. Gue diliatin gitu malah risih masa <Wajah Tidak Terhibur><Wajah Memutar Mata>"
75,"cth paling senang lecturer la, mcm mana sei dia nak tau apa yg jadi dkt student2 dia.... 🙄 apa yg student dia buat cth dengan siapa student dia dating, apa yg student dia buat bila bukan waktu kelas... 😒 and senang2 je dorg kata seungri tau apa yg berlaku ?? wtf 😡",negatif,"cth paling senang lecturer la, mcm mana sei dia nak tau apa yg jadi dkt student2 dia.... <Wajah Memutar Mata> apa yg student dia buat cth dengan siapa student dia dating, apa yg student dia buat bila bukan waktu kelas... <Wajah Tidak Terhibur> and senang2 je dorg kata seungri tau apa yg berlaku ?? wtf <Wajah Bersungut Marah>"
76,Terlalu seksi bu..... Takut ada yg kepanasan........ 🔥😏,positif,Terlalu seksi bu..... Takut ada yg kepanasan........ <Api><Wajah Tersenyum Sinis>
77,"W dlu waktu awal kenal sosmed malah bela2in fpi, sejenis kadrun2nan, radikal bebas.. 🤦‍♂️ sekarang w benci banget sama fpi, kadrun2nan dan sejenis mereka. 😡 Berani ngatain itu gk relevant krn pengalaman w sendiri juga gitu, otak w dlu belum jadi. 🤡",negatif,"W dlu waktu awal kenal sosmed malah bela2in fpi, sejenis kadrun2nan, radikal bebas.. <Orang Tepok Jidat>‍♂️ sekarang w benci banget sama fpi, kadrun2nan dan sejenis mereka. <Wajah Bersungut Marah> Berani ngatain itu gk relevant krn pengalaman w sendiri juga gitu, otak w dlu belum jadi. <Wajah Badut>"
78,takut dihujat w 😱😰,negatif,takut dihujat w <Wajah Berteriak Ketakutan><Wajah Mulut Terbuka Dan Keringat Dingin>
79,"cik atuh lah ulah balalaga kitu nu jd re-seller teh, sawajarna 🙄. urg bangga make brand local, tp mun kitu2 teuing mah hoream makena ge 😒.",negatif,"cik atuh lah ulah balalaga kitu nu jd re-seller teh, sawajarna <Wajah Memutar Mata>. urg bangga make brand local, tp mun kitu2 teuing mah hoream makena ge <Wajah Tidak Terhibur>."
80,Mbaknya terpesona karo kecantikanmu mbak enjiii 😍✨,positif,Mbaknya terpesona karo kecantikanmu mbak enjiii <Wajah Tersenyum Dengan Mata Hati>✨
81,ngebales tweet dan bikin tweet kaya gitu malah nunjukkin kalo lu cemas dan takut hehe 🤭🤔,negatif,ngebales tweet dan bikin tweet kaya gitu malah nunjukkin kalo lu cemas dan takut hehe 🤭<Wajah Berpikir>
82,selalu dijudge org lain even until now so I know gimana rasanya dijudge org2 🙄 in conclusion lemme make it short gw tidak mao menghabiskan waktu fangirling gw untuk membenci sesuatu yg bahkan mungkin bias2 gw ga benci... 😑 gw jelas tyda muda lagi udah mo menuju 40 thn -c- 🙃,negatif,selalu dijudge org lain even until now so I know gimana rasanya dijudge org2 <Wajah Memutar Mata> in conclusion lemme make it short gw tidak mao menghabiskan waktu fangirling gw untuk membenci sesuatu yg bahkan mungkin bias2 gw ga benci... <Wajah Tanpa Ekspresi> gw jelas tyda muda lagi udah mo menuju 40 thn -c- <Wajah Terbalik>
83,Jijik eeeuyyhh 🤢🤮,negatif,Jijik eeeuyyhh <Wajah Mual>🤮
84,Terus pas ada yang rasis tersinggung 🙄. Padahal mereka nya juga sok menjauh gitu kadang 😒. Heran 🤔,negatif,Terus pas ada yang rasis tersinggung <Wajah Memutar Mata>. Padahal mereka nya juga sok menjauh gitu kadang <Wajah Tidak Terhibur>. Heran <Wajah Berpikir>
85,Murka sa bandungeun dibawa jigana coks 😠💣. Saminggu Gandul datang eta sunter langsung banjir..Hhaha 🤣😂,negatif,Murka sa bandungeun dibawa jigana coks <Wajah Marah><Bom>. Saminggu Gandul datang eta sunter langsung banjir..Hhaha <Tertawa Terpingkal-Pingkal><Wajah Menangis Gembira>
86,"Akui terpesona dengan sikap BCL, Ariel NOAH tak segan minta bayaran berupa perasaan saat ia ngamen di rumah istri mendiang Ashraf Sinclair. 😍💞",positif,"Akui terpesona dengan sikap BCL, Ariel NOAH tak segan minta bayaran berupa perasaan saat ia ngamen di rumah istri mendiang Ashraf Sinclair. <Wajah Tersenyum Dengan Mata Hati><Hati Berputar>"
87,"ngeri banget itu disampingnya sungai 😱, suka was was kalau main ke sungai tiba tiba longsor mampus dah 😰",negatif,"ngeri banget itu disampingnya sungai <Wajah Berteriak Ketakutan>, suka was was kalau main ke sungai tiba tiba longsor mampus dah <Wajah Mulut Terbuka Dan Keringat Dingin>"
88,"Tapi tidak dengan yg bermoral, dan membawa nama agama, dan jarang terjadi, tidak yg suka klaim surga, dan horam haram tapi melakukannya juga, untuk menutupi bejadnya kelakuannya dengan mengatas namakan agama nya, bikin muak 🤮 🤢 😠.",negatif,"Tapi tidak dengan yg bermoral, dan membawa nama agama, dan jarang terjadi, tidak yg suka klaim surga, dan horam haram tapi melakukannya juga, untuk menutupi bejadnya kelakuannya dengan mengatas namakan agama nya, bikin muak 🤮 <Wajah Mual> <Wajah Marah>."
89,"aku hari ini: orang: kok muka lu kaya m****t aku: hahaha *cuec* 😛 aku besok: orang: kok muka lu kaya m****t aku: *diem, tersinggung* 😒 ya begitulah kurang lebih contohnya. 🙄",negatif,"aku hari ini: orang: kok muka lu kaya m****t aku: hahaha *cuec* <Wajah Menjulurkan Lidah> aku besok: orang: kok muka lu kaya m****t aku: *diem, tersinggung* <Wajah Tidak Terhibur> ya begitulah kurang lebih contohnya. <Wajah Memutar Mata>"
90,Foya foya dulu kalo udah puas baru nikah 🤑💃,positif,Foya foya dulu kalo udah puas baru nikah <Wajah Mata Duitan><Wanita Menari>
91,"Selamat pagi. 🙄 Gila ya kamu pagi-pagi kayak gini malah dimulai dengan ngehaluin dia jadi milik kamu, heran. 😒",negatif,"Selamat pagi. <Wajah Memutar Mata> Gila ya kamu pagi-pagi kayak gini malah dimulai dengan ngehaluin dia jadi milik kamu, heran. <Wajah Tidak Terhibur>"
92,Yakaaannnn cempreng2nya kedengeran huhuhu 😱 takut man dimarahin nayah hahahahahah 🤣,negatif,Yakaaannnn cempreng2nya kedengeran huhuhu <Wajah Berteriak Ketakutan> takut man dimarahin nayah hahahahahah <Tertawa Terpingkal-Pingkal>
93,Angkat in tagar dong om soal pak Jokowi takut pada kaum intoleran 🙄😏,negatif,Angkat in tagar dong om soal pak Jokowi takut pada kaum intoleran <Wajah Memutar Mata><Wajah Tersenyum Sinis>
