komentar,komentar_with_tags,sentimen llm
Banyak 😆😆😆😆,Banyak <Wajah Tersenyum Mulut Terbuka Dan Mata Tertutup><Wajah Tersenyum Mulut Terbuka Dan Mata Tertutup><Wajah Tersenyum Mulut Terbuka Dan Mata Tertutup><Wajah Tersenyum Mulut Terbuka Dan Mata Tertutup>,negatif
"Pinter sekali nono, Salam Dari Orang NTT di Aussy..So proud of you Nono😍😍","Pinter sekali nono, Salam Dari Orang NTT di Aussy..So proud of you Nono<Wajah Tersenyum Dengan Mata Hati><Wajah Tersenyum Dengan Mata Hati>",negatif
Juara 1 dunia sempoa dari SD inpres 👍👍👍,Juara 1 dunia sempoa dari SD inpres <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,negatif
"Wauuww,Luar biasa Nono.....!👍👍👍","Wauuww,Luar biasa Nono.....!<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>",negatif
Hebat ni anak 😇👍😘,Hebat ni anak <Wajah Tersenyum Malaikat><Jempol Ke Atas><Wajah Meniup Ciuman>,negatif
tumben ngundang anak berprestasi...biasa nya ngundang yg lg nanges putus cinta 😁😁😁😁,tumben ngundang anak berprestasi...biasa nya ngundang yg lg nanges putus cinta <Wajah Menyeringai Dengan Mata Tersenyum><Wajah Menyeringai Dengan Mata Tersenyum><Wajah Menyeringai Dengan Mata Tersenyum><Wajah Menyeringai Dengan Mata Tersenyum>,positif
Harusnya Nono d undang ke Istana n ditanggung pendidikannya oleh negara👍,Harusnya Nono d undang ke Istana n ditanggung pendidikannya oleh negara<Jempol Ke Atas>,netral
"Suka Acaranya, hostnya lucu'² 😃🤣🤭,","Suka Acaranya, hostnya lucu'² <Wajah Tersenyum Dengan Mulut Terbuka><Tertawa Terpingkal-Pingkal>🤭,",negatif
Nono yg doyan syr kelor sm dgn sempoa nya sdh tertsnam di dalam otak nono..mnjdi cemerlang...TYM Nono🥰🥰🙏😇,Nono yg doyan syr kelor sm dgn sempoa nya sdh tertsnam di dalam otak nono..mnjdi cemerlang...TYM Nono🥰🥰<Tangan Merapat Berdoa><Wajah Tersenyum Malaikat>,negatif
Hebat Nono 👍,Hebat Nono <Jempol Ke Atas>,negatif
Yang pakai kalkulator saja kalah🤦‍♂️🤦‍♂️,Yang pakai kalkulator saja kalah<Orang Tepok Jidat>‍♂️<Orang Tepok Jidat>‍♂️,netral
"Ini wajib viral dan harus viral,karna telah membawa nama baik(harum) bangsa dan negara🇮🇩 d dunia. 
Menjadi invirasi juga buat ibu/bapak dan anak2 Indonesia,
Menciptakan generasi yang berkualitas tinggi(internasional)
Keadaan bukan lah sebuah rintangan
Buktinya NONO.
RAKYAT BIASA TETAPI KUALITAS DUNIA.luar biasa
Terima kasih,,,,.Nono 
Mantap👍👍👍🙏","Ini wajib viral dan harus viral,karna telah membawa nama baik(harum) bangsa dan negara🇮🇩 d dunia. 
Menjadi invirasi juga buat ibu/bapak dan anak2 Indonesia,
Menciptakan generasi yang berkualitas tinggi(internasional)
Keadaan bukan lah sebuah rintangan
Buktinya NONO.
RAKYAT BIASA TETAPI KUALITAS DUNIA.luar biasa
Terima kasih,,,,.Nono 
Mantap<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Tangan Merapat Berdoa>",negatif
"Amin puji TUHAN YESUS ,,, nak Nono 🙏","Amin puji TUHAN YESUS ,,, nak Nono <Tangan Merapat Berdoa>",negatif
Ini baru anak cerdas..mengharumkannama bangsa indonesia di dunia international..ini yg harus kita dukung bersama..dari pada dukung yg nangis trus viral dimana mana.😀😀😀😀😀😀😀😀😀😀😀😀,Ini baru anak cerdas..mengharumkannama bangsa indonesia di dunia international..ini yg harus kita dukung bersama..dari pada dukung yg nangis trus viral dimana mana.<Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai>,positif
Undang lagi dong😁😁😁😁,Undang lagi dong<Wajah Menyeringai Dengan Mata Tersenyum><Wajah Menyeringai Dengan Mata Tersenyum><Wajah Menyeringai Dengan Mata Tersenyum><Wajah Menyeringai Dengan Mata Tersenyum>,netral
Ini indigo sesungguh nyaa...lain buka mata batin...😏✌️,Ini indigo sesungguh nyaa...lain buka mata batin...<Wajah Tersenyum Sinis><Tangan Tanda Damai Berjaya>️,positif
"Juara dunia matematikanya berasal dr sekolah dasar inpres bukan berasal dr sekolah dasar yg berkurikulum internasional berbahasa pengantar inggris dan berbiaya fantastis, mantap nono👍👍👍","Juara dunia matematikanya berasal dr sekolah dasar inpres bukan berasal dr sekolah dasar yg berkurikulum internasional berbahasa pengantar inggris dan berbiaya fantastis, mantap nono<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>",negatif
" @mariaerni842  iya bu,berbicara fakta,tapi baik sekolah swasta maupun negri,semuanya punya kelebihan masing2🙏🙏"," @mariaerni842  iya bu,berbicara fakta,tapi baik sekolah swasta maupun negri,semuanya punya kelebihan masing2<Tangan Merapat Berdoa><Tangan Merapat Berdoa>",negatif
 @revanardonardo2079  ada yg panas.. 😂😂😂, @revanardonardo2079  ada yg panas.. <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
"Dulu kan di tv pernah ada beberapa acara yang mendidik tapi kalah saing sama acara yg bukan tentang mendidik 🤣
Saya rasa banyak masyarakat yg lebih menonton acara hiburan dari pada acara yg mendidik wkwkwk","Dulu kan di tv pernah ada beberapa acara yang mendidik tapi kalah saing sama acara yg bukan tentang mendidik <Tertawa Terpingkal-Pingkal>
Saya rasa banyak masyarakat yg lebih menonton acara hiburan dari pada acara yg mendidik wkwkwk",positif
"Setuju, bukannya yg sad sad gitu g mendidik 🤣","Setuju, bukannya yg sad sad gitu g mendidik <Tertawa Terpingkal-Pingkal>",positif
"ADA SANDY SAMA SATYA 😂😂 TERNYATA MEREKA SALING KENAL,. TP KEKNYA CIRCLENYA GAK COCOK KARENA BEDA FREQUESNSI 😂😂","ADA SANDY SAMA SATYA <Wajah Menangis Gembira><Wajah Menangis Gembira> TERNYATA MEREKA SALING KENAL,. TP KEKNYA CIRCLENYA GAK COCOK KARENA BEDA FREQUESNSI <Wajah Menangis Gembira><Wajah Menangis Gembira>",positif
Pas waktu itu aku masih fokus sama berita fs Richard Eliezer...jadi gatau klo itu sandy yg bakalan muncul di coc 😊,Pas waktu itu aku masih fokus sama berita fs Richard Eliezer...jadi gatau klo itu sandy yg bakalan muncul di coc <Wajah Tersenyum Dengan Mata Tersenyum>,netral
Ternyata aku yang sibuk ngfansgirl sampe ndak pernah lewat berita sekeren ini 😢 sandy ternyata kamu artis lama 😁,Ternyata aku yang sibuk ngfansgirl sampe ndak pernah lewat berita sekeren ini <Wajah Menangis> sandy ternyata kamu artis lama <Wajah Menyeringai Dengan Mata Tersenyum>,positif
Orang tua Sandy pasti bangga banget 👏🏻👏🏻,Orang tua Sandy pasti bangga banget <Tepuk Tangan>🏻<Tepuk Tangan>🏻,negatif
pas tahun lalu ini kita sibuk viralin citayam fashion week sampe sandi dkk ga terlalu viral 😢 untung bisa ada ruangguru jd anak2 berprestasi bisa dpt hadiah'''' dari prestasinya,pas tahun lalu ini kita sibuk viralin citayam fashion week sampe sandi dkk ga terlalu viral <Wajah Menangis> untung bisa ada ruangguru jd anak2 berprestasi bisa dpt hadiah'''' dari prestasinya,negatif
Good 👍👍👍👍👍👍👍👍,Good <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,negatif
Sandyyy gueh❤,Sandyyy gueh<Hati Merah>,negatif
Wahh dsini dia (sandy) masih kiyowwoooo ya ❤❤❤,Wahh dsini dia (sandy) masih kiyowwoooo ya <Hati Merah><Hati Merah><Hati Merah>,netral
aku kesini setelah liat sandy di clash of champions😃,aku kesini setelah liat sandy di clash of champions<Wajah Tersenyum Dengan Mulut Terbuka>,netral
sandy chubby bgt lucuuuuuu ❤❤❤❤,sandy chubby bgt lucuuuuuu <Hati Merah><Hati Merah><Hati Merah><Hati Merah>,negatif
SANDY PANTAS  UTK VIRAL MKSIH RUANGGURU😊😊👏,SANDY PANTAS  UTK VIRAL MKSIH RUANGGURU<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Tepuk Tangan>,negatif
Finally sandy viral jg berkat ikut clash of champion by ruangguru😭😭😭👏👏,Finally sandy viral jg berkat ikut clash of champion by ruangguru<Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Tepuk Tangan><Tepuk Tangan>,negatif
Dari 2024😂,Dari 2024<Wajah Menangis Gembira>,netral
Disini bakalan tdk dihargai itupun di waktu2tertentu saja habis itu ilang ditelan bumi kerjaan tdk jelas hanya di luarnegeri yg mau menampung org2 yg berbakat itu fakta🤣🤣🤣🤣,Disini bakalan tdk dihargai itupun di waktu2tertentu saja habis itu ilang ditelan bumi kerjaan tdk jelas hanya di luarnegeri yg mau menampung org2 yg berbakat itu fakta<Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal>,positif
Yang kaya gini gini ko ga bisa viral kaya CFW yah..🤣🤣🤣..heran aku..😹😹😹,Yang kaya gini gini ko ga bisa viral kaya CFW yah..<Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal>..heran aku..<Wajah Kucing Menangis Bahagia><Wajah Kucing Menangis Bahagia><Wajah Kucing Menangis Bahagia>,positif
"Alhamdulillah.. viralnya gak di 2 tahun yg lalu, tapi saat ini~ 
Semua ada masanya.. proses tdk mengkhianati hasil yaa Sandy, dkk. ❤❤
Thx RG udh mewadahi, menginspirasi, dan memotivasi para pelajar melalui mereka~","Alhamdulillah.. viralnya gak di 2 tahun yg lalu, tapi saat ini~ 
Semua ada masanya.. proses tdk mengkhianati hasil yaa Sandy, dkk. <Hati Merah><Hati Merah>
Thx RG udh mewadahi, menginspirasi, dan memotivasi para pelajar melalui mereka~",negatif
Untuk anak Citayam fashion week....... berita ini tidak berfaedah. Karena mereka yg Viral di negri Wakanda 😂😂😂😂😂😂,Untuk anak Citayam fashion week....... berita ini tidak berfaedah. Karena mereka yg Viral di negri Wakanda <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
Tapi yg viral bonge dan Jeje 😭😭😭😭😭,Tapi yg viral bonge dan Jeje <Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>,positif
Sekarang sandy viral😂,Sekarang sandy viral<Wajah Menangis Gembira>,netral
" @joker-yt9cl  Tenang bro. Kynya bakal percuma kl debat sm mereka. Otak kita ga bakal ""nyampe"" 😂"," @joker-yt9cl  Tenang bro. Kynya bakal percuma kl debat sm mereka. Otak kita ga bakal ""nyampe"" <Wajah Menangis Gembira>",positif
Penting ya? 🤔 Gagal paham saya 😂😂😂,Penting ya? <Wajah Berpikir> Gagal paham saya <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
"Prestasi tim SMA dari Indonesia dari sejak sy SMA kalau kompetisi  olimpiade science selalu membanggakan dan bawa pulang medali, luar biasa jenius nya .. seingat sy Pak Yohanes Surya salah  satu pembimbing , yg ikut jaman² sy SMA dan kuliah..🙏","Prestasi tim SMA dari Indonesia dari sejak sy SMA kalau kompetisi  olimpiade science selalu membanggakan dan bawa pulang medali, luar biasa jenius nya .. seingat sy Pak Yohanes Surya salah  satu pembimbing , yg ikut jaman² sy SMA dan kuliah..<Tangan Merapat Berdoa>",negatif
Gimana mau bangga ya semua China 😂😂,Gimana mau bangga ya semua China <Wajah Menangis Gembira><Wajah Menangis Gembira>,negatif
mantul bro 🇲🇨👍👍👍👍👍🇲🇨,mantul bro 🇲🇨<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>🇲🇨,negatif
Tv metro suka cina 🤣🤣🤣🤣,Tv metro suka cina <Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal>,netral
"Sangat membanggakan, seharusnya ini lebih viral dari Citayam
Selamat buat para juara 👍👍👍👍👍","Sangat membanggakan, seharusnya ini lebih viral dari Citayam
Selamat buat para juara <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>",negatif
keren🔥💪🏻🇮🇩,keren<Api><Otot Lengan Kuat>🏻🇮🇩,negatif
Sungguh luar biasa  semoga anak yg lain ikut jejak mereka bisa membanggakan indonesia 😘😘🇮🇩🇮🇩,Sungguh luar biasa  semoga anak yg lain ikut jejak mereka bisa membanggakan indonesia <Wajah Meniup Ciuman><Wajah Meniup Ciuman>🇮🇩🇮🇩,negatif
Yang gini dong…pakai otak..👍🏻👍🏻,Yang gini dong…pakai otak..<Jempol Ke Atas>🏻<Jempol Ke Atas>🏻,positif
 @idohandika  kl gua kasi tau nanti anda menangis 3 hari 3 malam 😎, @idohandika  kl gua kasi tau nanti anda menangis 3 hari 3 malam <Wajah Tersenyum Dengan Kacamata Hitam>,positif
"Hidup untuk berguna bagi sesama,kembangkan bakat talentamu.👍","Hidup untuk berguna bagi sesama,kembangkan bakat talentamu.<Jempol Ke Atas>",netral
"Mantap, bisa membanggakan nama Indonesia di luar negri 👍👍👍👍👍👍","Mantap, bisa membanggakan nama Indonesia di luar negri <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>",negatif
Pak bara 🔥,Pak bara <Api>,netral
 @mnazar9153  mantul lur 👍👍👍, @mnazar9153  mantul lur <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,netral
✊🏼✊🏼✊🏼💐💐💐🇮🇩🇮🇩🇮🇩Bravoo anak Indonesia.,<Kepalan Tangan Kejayaan>🏼<Kepalan Tangan Kejayaan>🏼<Kepalan Tangan Kejayaan>🏼<Buket Bunga><Buket Bunga><Buket Bunga>🇮🇩🇮🇩🇮🇩Bravoo anak Indonesia.,netral
Lebih baik yang viral ini ketimbang jeje dan geng citayem 🔥🔥🔥🔥🔥,Lebih baik yang viral ini ketimbang jeje dan geng citayem <Api><Api><Api><Api><Api>,positif
"Anies Baswedan dapat medali di lomba nyebrang Zebra Cross di SBD ala ABG Citayam Hahaha 😃
Medali emas kelebihan bayar.💲🤣😎","Anies Baswedan dapat medali di lomba nyebrang Zebra Cross di SBD ala ABG Citayam Hahaha <Wajah Tersenyum Dengan Mulut Terbuka>
Medali emas kelebihan bayar.💲<Tertawa Terpingkal-Pingkal><Wajah Tersenyum Dengan Kacamata Hitam>",netral
Betul sekali 👍👍,Betul sekali <Jempol Ke Atas><Jempol Ke Atas>,negatif
 @gimhaeanderkor7157   😂😂😂😂😂😂, @gimhaeanderkor7157   <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Terharu ingat sawah yang di jual😅,Terharu ingat sawah yang di jual<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,negatif
😢terharu sekali aku... Ya Alloh..,<Wajah Menangis>terharu sekali aku... Ya Alloh..,netral
NK Mojokerto ❤❤❤❤❤❤❤,NK Mojokerto <Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah>,netral
"Rata-rata harapan orang tua kita sederhana, seputar jangan lupa sholat, jaga kesehatan, berperilaku santun, dan jujur.

Tapi terkadang kita malah mobat mabit ora karuan dalam mengejar dunia 😢

( Kendari, 1 Desember 2025 )","Rata-rata harapan orang tua kita sederhana, seputar jangan lupa sholat, jaga kesehatan, berperilaku santun, dan jujur.

Tapi terkadang kita malah mobat mabit ora karuan dalam mengejar dunia <Wajah Menangis>

( Kendari, 1 Desember 2025 )",positif
"""Yang Rendah hati,jangan tinggalkan shalat 5 waktu""
😢😢😢
Pantesan anaknya berhasil membanggakan mereka....","""Yang Rendah hati,jangan tinggalkan shalat 5 waktu""
<Wajah Menangis><Wajah Menangis><Wajah Menangis>
Pantesan anaknya berhasil membanggakan mereka....",positif
"Persis mamaku, kalo etiap nlp selalu bilang, jngn lupa shalat,❤
I have a great moom🎉🎉","Persis mamaku, kalo etiap nlp selalu bilang, jngn lupa shalat,<Hati Merah>
I have a great moom🎉🎉",negatif
Mewek gw liat ini.😢😢,Mewek gw liat ini.<Wajah Menangis><Wajah Menangis>,positif
Terharu wewww😢😢,Terharu wewww<Wajah Menangis><Wajah Menangis>,negatif
Saya laki tapi jika saya mendengar tentang ibu saya tidak bisa menahan air mata😭subhanallah kata² mutiara dari seorang ibu jangan pernah meninggalkan sholat lima waktu😭,Saya laki tapi jika saya mendengar tentang ibu saya tidak bisa menahan air mata<Wajah Menangis Kencang>subhanallah kata² mutiara dari seorang ibu jangan pernah meninggalkan sholat lima waktu<Wajah Menangis Kencang>,positif
"Anak renda hati dan syg keluarga😢 ""gk masalah mkn apa,yg penting mkn bersama keluarga""👏👏 permintaan yg sederhana tpi mendalam.salam hormat buat ank hebat🙏🙏","Anak renda hati dan syg keluarga<Wajah Menangis> ""gk masalah mkn apa,yg penting mkn bersama keluarga""<Tepuk Tangan><Tepuk Tangan> permintaan yg sederhana tpi mendalam.salam hormat buat ank hebat<Tangan Merapat Berdoa><Tangan Merapat Berdoa>",negatif
Ibu yg doa kabul lin Alloh.. doa nya anak jdi org hiii😂,Ibu yg doa kabul lin Alloh.. doa nya anak jdi org hiii<Wajah Menangis Gembira>,negatif
Ya alloh ...😢  baru kali ini saya mendengar pesan sampai menangis,Ya alloh ...<Wajah Menangis>  baru kali ini saya mendengar pesan sampai menangis,positif
"Ada SUKANDA Jas Hitam, Anaknya lulus Akpol..luar biasa👍🏻👍🏻👍🏻","Ada SUKANDA Jas Hitam, Anaknya lulus Akpol..luar biasa<Jempol Ke Atas>🏻<Jempol Ke Atas>🏻<Jempol Ke Atas>🏻",netral
❤❤ BRAVO..,<Hati Merah><Hati Merah> BRAVO..,netral
"Ibu yg luar biasa"" inget pesan mamah jgn lupakan sholat 5 waktu nak,jgn lupa kirim alfatiha buat alm bapak"" dan cita2 yg mulia dr sang anak hanya ingin membuat bangga orang tua dan menaikan derjat orang tua...😭","Ibu yg luar biasa"" inget pesan mamah jgn lupakan sholat 5 waktu nak,jgn lupa kirim alfatiha buat alm bapak"" dan cita2 yg mulia dr sang anak hanya ingin membuat bangga orang tua dan menaikan derjat orang tua...<Wajah Menangis Kencang>",negatif
"Sehat selalu ibu ,,,ibu adalah manusia mulya ❤❤❤","Sehat selalu ibu ,,,ibu adalah manusia mulya <Hati Merah><Hati Merah><Hati Merah>",negatif
Tetep semngt jangan lupa alfatihah buat ayah yah aku kangen yah😭,Tetep semngt jangan lupa alfatihah buat ayah yah aku kangen yah<Wajah Menangis Kencang>,negatif
nyesek...😢😢😢😢 lima waktu...fatehah sama bpk.,nyesek...<Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis> lima waktu...fatehah sama bpk.,positif
Taruna Akpol ❤❤❤,Taruna Akpol <Hati Merah><Hati Merah><Hati Merah>,netral
Hobi baru aku: nangisin orang random😢,Hobi baru aku: nangisin orang random<Wajah Menangis>,positif
Kamu beruntung .punya mamah yg sayang sma kmu 😢,Kamu beruntung .punya mamah yg sayang sma kmu <Wajah Menangis>,negatif
Ya Allah aku ikut teeharu ..cita cita seorang ibu penggen jadi anak nyenjadi anak yg baik dan  dan sukses😢,Ya Allah aku ikut teeharu ..cita cita seorang ibu penggen jadi anak nyenjadi anak yg baik dan  dan sukses<Wajah Menangis>,negatif
😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,<Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis>,negatif
"Saya salah satu Taruna juga , waktu itu sangat terharu sekali 😢","Saya salah satu Taruna juga , waktu itu sangat terharu sekali <Wajah Menangis>",negatif
"Bkin mewek sja,aku tdak than air mata😥","Bkin mewek sja,aku tdak than air mata<Wajah Kecewa Tapi Lega>",positif
Maaf baru balas ayah Casis Kita🥺🥺🥺🥺🥺🥺 🙏🏻,Maaf baru balas ayah Casis Kita🥺🥺🥺🥺🥺🥺 <Tangan Merapat Berdoa>🏻,netral
Masya Allah 😢😭😭😭,Masya Allah <Wajah Menangis><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>,negatif
Raya 👍👍👍👍👍👍👍,Raya <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,netral
"Alhamdullilah, Saya Bangga dengan Ananda Andriyana, ingat dan laksanakan pesan Bunda Selalu, Selama Bersekolah di SMPN 1 Banjarbaru ( Ketika Masih Kelas 8 ) Saya Sempat mengajar di Kelas nya, Ananda  Andriyana Humble dan Disiplin ..  Sesuai saja berkarir di TNI ..👍👍👍","Alhamdullilah, Saya Bangga dengan Ananda Andriyana, ingat dan laksanakan pesan Bunda Selalu, Selama Bersekolah di SMPN 1 Banjarbaru ( Ketika Masih Kelas 8 ) Saya Sempat mengajar di Kelas nya, Ananda  Andriyana Humble dan Disiplin ..  Sesuai saja berkarir di TNI ..<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>",negatif
Ya allah... gk terasa ikut netes 😭😭😭,Ya allah... gk terasa ikut netes <Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>,positif
Subkhanllah bangtt😢orang2 hebat itu’Orang yang selalu mengidisplikan dan mengutamakan😢😢poin2 luar biasa’Sublhanllah bangt😢luar biasa bangtt❤Yallah jangan tinggalkan sholat limah waktu😢Yallah kesan pesatnya luar biasa.ini salah satu mengaprisisikan😢,Subkhanllah bangtt<Wajah Menangis>orang2 hebat itu’Orang yang selalu mengidisplikan dan mengutamakan<Wajah Menangis><Wajah Menangis>poin2 luar biasa’Sublhanllah bangt<Wajah Menangis>luar biasa bangtt<Hati Merah>Yallah jangan tinggalkan sholat limah waktu<Wajah Menangis>Yallah kesan pesatnya luar biasa.ini salah satu mengaprisisikan<Wajah Menangis>,negatif
"Kata mutiara yg sangat indah dari seorang ibu ""nak jangan pernah tinggalkan sholat lima waktu ya nak "" ini adalah pesan istimewa untuk si buah hati 😢😢😢😢","Kata mutiara yg sangat indah dari seorang ibu ""nak jangan pernah tinggalkan sholat lima waktu ya nak "" ini adalah pesan istimewa untuk si buah hati <Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis>",negatif
"Salah satu pesan yg selalu ibu saya ucapkan bila saya pulang ke rumah ""jangan lupa sholat"" 😢","Salah satu pesan yg selalu ibu saya ucapkan bila saya pulang ke rumah ""jangan lupa sholat"" <Wajah Menangis>",negatif
Sukses banjarmasin... 👍💪,Sukses banjarmasin... <Jempol Ke Atas><Otot Lengan Kuat>,negatif
"Ikut bangga dan terharu, selamat ya, Bu.....semoga putranya  diberikan kemudahan dan kelancaran selama menempuh pendidikan🙏","Ikut bangga dan terharu, selamat ya, Bu.....semoga putranya  diberikan kemudahan dan kelancaran selama menempuh pendidikan<Tangan Merapat Berdoa>",negatif
